Date,Time,Visitors,Queue_Length,Weather,Event,Holiday,Customers,Items_Bought,DayOfWeek,Waiting_Time
2023-10-09,9:00,39,9,Cloudy,None,False,31,365,0,6.083333333333333
2023-10-09,9:30,62,15,Cloudy,Concert,False,51,470,0,7.833333333333333
2023-10-09,10:00,57,10,Sunny,Concert,False,45,441,0,7.35
2023-10-09,10:30,63,14,Sunny,Concert,False,51,526,0,8.766666666666667
2023-10-09,11:00,40,6,Rainy,None,False,32,330,0,5.5
2023-10-09,11:30,39,10,Rainy,Concert,False,34,324,0,5.4
2023-10-09,12:00,38,9,Sunny,Concert,False,31,319,0,5.316666666666666
2023-10-09,12:30,60,13,Rainy,None,False,47,476,0,7.933333333333334
2023-10-09,13:00,50,14,Sunny,None,False,37,359,0,5.983333333333333
2023-10-09,13:30,40,6,Cloudy,None,False,29,328,0,5.466666666666667
2023-10-09,14:00,57,6,Sunny,None,False,42,405,0,6.75
2023-10-09,14:30,41,12,Sunny,Sale,False,34,263,0,4.383333333333334
2023-10-09,15:00,50,13,Cloudy,None,False,44,404,0,6.733333333333333
2023-10-09,15:30,37,11,Sunny,Concert,False,24,206,0,3.433333333333333
2023-10-09,16:00,54,10,Sunny,Concert,False,42,390,0,6.5
2023-10-09,16:30,56,12,Cloudy,None,False,39,485,0,8.083333333333334
2023-10-09,17:00,55,10,Sunny,None,False,46,456,0,7.6
2023-10-09,17:30,66,10,Sunny,None,False,48,509,0,8.483333333333333
2023-10-09,18:00,47,7,Rainy,Concert,False,33,270,0,4.5
2023-10-09,18:30,54,14,Sunny,Sale,False,42,384,0,6.4
2023-10-09,19:00,46,13,Cloudy,None,False,38,374,0,6.233333333333333
2023-10-09,19:30,42,6,Sunny,None,False,31,278,0,4.633333333333334
2023-10-09,20:00,54,6,Rainy,Concert,False,38,335,0,5.583333333333333
2023-10-09,20:30,41,7,Rainy,Sale,False,32,266,0,4.433333333333334
2023-10-10,9:00,32,8,Rainy,Concert,False,26,264,1,4.4
2023-10-10,9:30,67,13,Rainy,Concert,False,55,615,1,10.25
2023-10-10,10:00,44,7,Sunny,None,False,34,344,1,5.733333333333333
2023-10-10,10:30,50,11,Sunny,Concert,False,35,325,1,5.416666666666667
2023-10-10,11:00,43,10,Rainy,None,False,34,276,1,4.6
2023-10-10,11:30,58,14,Cloudy,Concert,False,42,431,1,7.183333333333334
2023-10-10,12:00,42,12,Cloudy,Sale,False,32,334,1,5.566666666666666
2023-10-10,12:30,57,10,Rainy,None,False,49,515,1,8.583333333333334
2023-10-10,13:00,55,8,Cloudy,None,False,39,356,1,5.933333333333334
2023-10-10,13:30,34,8,Cloudy,Sale,False,30,334,1,5.566666666666666
2023-10-10,14:00,43,8,Rainy,Sale,False,35,361,1,6.016666666666667
2023-10-10,14:30,45,12,Sunny,Concert,False,33,343,1,5.716666666666667
2023-10-10,15:00,45,6,Cloudy,Concert,False,33,292,1,4.866666666666666
2023-10-10,15:30,62,14,Rainy,Concert,False,48,417,1,6.95
2023-10-10,16:00,47,5,Cloudy,Sale,False,36,298,1,4.966666666666667
2023-10-10,16:30,53,8,Sunny,Sale,False,44,414,1,6.9
2023-10-10,17:00,33,4,Rainy,Sale,False,27,264,1,4.4
2023-10-10,17:30,42,3,Cloudy,Sale,False,33,339,1,5.65
2023-10-10,18:00,47,8,Sunny,Sale,False,34,362,1,6.033333333333333
2023-10-10,18:30,62,11,Sunny,None,False,46,504,1,8.4
2023-10-10,19:00,45,9,Rainy,Concert,False,35,338,1,5.633333333333334
2023-10-10,19:30,51,10,Sunny,Sale,False,44,467,1,7.783333333333333
2023-10-10,20:00,42,3,Sunny,Sale,False,31,268,1,4.466666666666667
2023-10-10,20:30,60,16,Cloudy,Sale,False,49,537,1,8.95
2023-10-11,9:00,41,9,Sunny,Sale,False,31,258,2,4.3
2023-10-11,9:30,50,9,Sunny,None,False,36,397,2,6.616666666666666
2023-10-11,10:00,52,6,Sunny,Sale,False,40,352,2,5.866666666666666
2023-10-11,10:30,48,8,Rainy,Concert,False,36,371,2,6.183333333333334
2023-10-11,11:00,55,9,Sunny,None,False,40,391,2,6.516666666666667
2023-10-11,11:30,51,5,Cloudy,None,False,44,419,2,6.983333333333333
